"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_features","batch_size","conv_activation","data_dir","dense_activation","dropout","early_terminate.min_iter","early_terminate.type","filter_size","img_size","in_channels","include_batchnorm","input_size","lr","max_epochs","method","metric.goal","metric.name","num_classes","num_dense","num_layers","num_workers","padding","parameters.base_featuress","parameters.batch_sizes","parameters.conv_activations","parameters.data_dir","parameters.dense_activations","parameters.dropouts","parameters.filter_sizes","parameters.img_size","parameters.in_channels","parameters.include_batchnorms","parameters.input_size","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.max_epochs","parameters.num_classes","parameters.num_denses","parameters.num_layers","parameters.num_workers","parameters.padding","parameters.pooling_k","parameters.strategys","parameters.stride","parameters.use_augmentations","pooling_k","program","run_cap","strategy","stride","use_augmentation","epoch","train_accuracy","train_f1_class_cardboard","train_f1_class_glass","train_f1_class_metal","train_f1_class_paper","train_f1_class_plastic","train_f1_class_trash","train_loss_epoch","train_loss_step","train_precision_class_cardboard","train_precision_class_glass","train_precision_class_metal","train_precision_class_paper","train_precision_class_plastic","train_precision_class_trash","train_recall_class_cardboard","train_recall_class_glass","train_recall_class_metal","train_recall_class_paper","train_recall_class_plastic","train_recall_class_trash","trainer/global_step","val_accuracy","val_f1_class_cardboard","val_f1_class_glass","val_f1_class_metal","val_f1_class_paper","val_f1_class_plastic","val_f1_class_trash","val_loss","val_precision_class_cardboard","val_precision_class_glass","val_precision_class_metal","val_precision_class_paper","val_precision_class_plastic","val_precision_class_trash","val_recall_class_cardboard","val_recall_class_glass","val_recall_class_metal","val_recall_class_paper","val_recall_class_plastic","val_recall_class_trash"
"logical-sweep-33","","true","crashed","-","","","2025-12-13T19:18:09.000Z","171","rzpn3bhn","64","32","mish","data","relu","0.3","","","5","128","3","true","128","0.0005258389694953905","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","false","15","0.9235002994537354","0.9587628841400146","0.9073033928871156","0.8922056555747986","0.9622641801834106","0.8920863270759583","0.9175257682800292","0.19929465651512143","0.13046814501285553","0.9554794430732728","0.9176136255264282","0.8733766078948975","0.9691211581230164","0.8908045887947083","0.9270833134651184","0.9620689749717712","0.8972222208976746","0.9118643999099731","0.955503523349762","0.8933717608451843","0.9081632494926452","911","0.7272727489471436","0.8028169274330139","0.6974359154701233","0.5789473652839661","0.8436018824577332","0.6737967729568481","0.6792452931404114","0.8800543546676636","0.8142856955528259","0.6476190686225891","0.8048780560493469","0.8476190567016602","0.6237623691558838","0.6206896305084229","0.7916666865348816","0.7555555701255798","0.45205479860305786","0.8396226167678833","0.7325581312179565","0.75"
"ruby-sweep-32","","true","finished","-","","","2025-12-13T19:16:17.000Z","109","rzpn3bhn","64","32","gelu","data","gelu","0.4","","","5","128","3","true","128","0.0004743553198328981","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","true","10","0.6884975433349609","0.7853403091430664","0.6397849321365356","0.6219931244850159","0.8027523159980774","0.6268656849861145","0.48704662919044495","0.8721885681152344","0.7751001119613647","0.7950530052185059","0.6197916865348816","0.6306620240211487","0.7865168452262878","0.6501547694206238","0.49473685026168823","0.7758620977401733","0.6611111164093018","0.6135593056678772","0.8196721076965332","0.6051872968673706","0.47959184646606445","589","0.6341463327407837","0.7943262457847595","0.5714285969734192","0.5103448033332825","0.7419354915618896","0.5555555820465088","0.4642857015132904","0.9153047800064088","0.8115941882133484","0.6153846383094788","0.5138888955116272","0.6478873491287231","0.6896551847457886","0.40625","0.7777777910232544","0.5333333611488342","0.5068492889404297","0.8679245114326477","0.4651162922382355","0.5416666865348816"
"woven-sweep-31","","true","finished","-","","","2025-12-13T19:15:06.000Z","63","rzpn3bhn","64","64","gelu","data","gelu","0.5","","","3","128","3","false","128","0.0005261357363046552","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","true","9","0.6406164169311523","0.7748690843582153","0.580467700958252","0.5460993051528931","0.7119021415710449","0.6218236088752747","0.48514851927757263","0.9607638120651244","1.178897738456726","0.7844523191452026","0.5749318599700928","0.5724906921386719","0.6779661178588867","0.6459627151489258","0.4711538553237915","0.7655172348022461","0.5861111283302307","0.5220338702201843","0.7494145035743713","0.5994236469268799","0.5","289","0.3858093023300171","0.7301587462425232","0.15238095819950104","0.12820513546466827","0.45258620381355286","0.08421052992343903","0.3529411852359772","1.6954867839813232","0.8518518805503845","0.5333333611488342","1","0.29329609870910645","0.4444444477558136","0.6000000238418579","0.6388888955116272","0.08888889104127884","0.06849315017461777","0.9905660152435304","0.04651162773370743","0.25"
"smooth-sweep-30","","true","finished","-","","","2025-12-13T19:14:13.000Z","50","rzpn3bhn","64","64","mish","data","gelu","0.3","","","5","128","3","false","128","0.001213399157964644","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","10","0.5712713003158569","0.7835051417350769","0.48404255509376526","0.4548611044883728","0.6515641808509827","0.5495935082435608","0.2857142984867096","1.0893548727035522","1.1635396480560305","0.7808219194412231","0.4642857015132904","0.4661921560764313","0.6039999723434448","0.6305969953536987","0.3095238208770752","0.7862069010734558","0.5055555701255798","0.4440678060054779","0.7072599530220032","0.4870316982269287","0.26530611515045166","309","0.4634146392345429","0.6578947305679321","0.3928571343421936","0.3008849620819092","0.5495207905769348","0.25925925374031067","0.375","1.3604822158813477","0.625","0.42307692766189575","0.42500001192092896","0.41545894742012024","0.6363636255264282","0.375","0.6944444179534912","0.36666667461395264","0.232876718044281","0.8113207817077637","0.1627907007932663","0.375"
"cool-sweep-29","","true","finished","-","","","2025-12-13T19:12:08.000Z","118","rzpn3bhn","64","64","mish","data","silu","0.3","","","5","128","3","false","128","0.00013690817136211274","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","true","13","0.7407814860343933","0.8379310369491577","0.6975476741790771","0.6701570749282837","0.8295964002609253","0.6745913624763489","0.6373626589775085","0.7155053615570068","0.7526723146438599","0.8379310369491577","0.6844919919967651","0.6906474828720093","0.7956989407539368","0.696319043636322","0.6904761791229248","0.8379310369491577","0.7111111283302307","0.6508474349975586","0.8665105104446411","0.6541786789894104","0.5918367505073547","399","0.6807095408439636","0.7333333492279053","0.6315789222717285","0.6712328791618347","0.7761194109916687","0.6242774724960327","0.5573770403862","0.9175807237625122","0.7051281929016113","0.6666666865348816","0.6712328791618347","0.821052610874176","0.6206896305084229","0.45945945382118225","0.7638888955116272","0.6000000238418579","0.6712328791618347","0.7358490824699402","0.6279069781303406","0.7083333134651184"
"feasible-sweep-28","","true","finished","-","","","2025-12-13T19:11:08.000Z","58","rzpn3bhn","16","16","silu","data","silu","0.5","","","5","128","3","true","128","0.0013940046327516546","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","halving","1","false","12","0.41441938281059265","0.563503623008728","0.35043805837631226","0.2778793275356293","0.4394141137599945","0.47480106353759766","0","1.4458839893341064","1.3242281675338743","0.48860758543014526","0.31890660524368286","0.30158731341362","0.5092592835426331","0.43980345129966736","0","0.665517270565033","0.3888888955116272","0.25762712955474854","0.38641685247421265","0.5158501267433167","0","1399","0.3348115384578705","0.5251396894454956","0.3933333456516266","0","0","0.4109589159488678","0","1.5553488731384275","0.4392523467540741","0.2809523940086365","0","0","0.33834585547447205","0","0.6527777910232544","0.6555555462837219","0","0","0.5232558250427246","0"
"soft-sweep-27","","true","finished","-","","","2025-12-13T19:09:07.000Z","119","rzpn3bhn","64","16","mish","data","gelu","0.3","","","3","128","3","false","128","0.00377590782862532","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","false","15","0.2350027561187744","0","0","0","0.3805704116821289","0","0","1.723465919494629","1.6421736478805542","0","0","0","0.2350027561187744","0","0","0","0","0","1","0","0","1749","0.23503325879573825","0","0","0","0.3806104063987732","0","0","1.7217456102371216","0","0","0","0.23503325879573825","0","0","0","0","0","1","0","0"
"pious-sweep-26","","true","finished","-","","","2025-12-13T19:08:08.000Z","56","rzpn3bhn","32","16","mish","data","mish","0.5","","","3","128","3","false","128","0.0019658050485325726","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","halving","1","false","11","0.5046780109405518","0.76106196641922","0.4326424896717071","0.38620689511299133","0.5523590445518494","0.4643874764442444","0.27397260069847107","1.2575538158416748","1.62554132938385","0.7818182110786438","0.4053398072719574","0.39298245310783386","0.5429864525794983","0.4591549336910248","0.4166666567325592","0.7413793206214905","0.46388888359069824","0.3796610236167908","0.5620608925819397","0.469740629196167","0.20408163964748385","1329","0.5055432319641113","0.6547619104385376","0.4041450917720794","0.2708333432674408","0.6751055121421814","0.36250001192092896","0.5","1.3134586811065674","0.5729166865348816","0.3786407709121704","0.5652173757553101","0.6106870174407959","0.3918918967247009","0.5","0.7638888955116272","0.4333333373069763","0.1780821979045868","0.7547169923782349","0.3372093141078949","0.5"
"desert-sweep-25","","true","crashed","-","","","2025-12-13T19:07:09.000Z","53","rzpn3bhn","16","32","gelu","data","mish","0.3","","","5","128","3","true","128","0.000354401065021082","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","halving","1","true","15","0.4193725883960724","0.57419353723526","0.364812433719635","0.32040470838546753","0.3677811622619629","0.5089685916900635","0","1.437774419784546","1.5153008699417114","0.539393961429596","0.34140434861183167","0.3187919557094574","0.523809552192688","0.4165137708187103","0","0.6137930750846863","0.3916666805744171","0.32203391194343567","0.2833723723888397","0.6541786789894104","0","869","0.2993348240852356","0.48175182938575745","0.2769230902194977","0.10204081982374193","0","0.4420289993286133","0","1.5935872793197632","0.5076923370361328","0.2117647081613541","0.20000000298023224","0","0.3210526406764984","0","0.4583333432674408","0.4000000059604645","0.06849315017461777","0","0.7093023061752319","0"
"solar-sweep-24","","true","finished","-","","","2025-12-13T19:06:05.000Z","61","rzpn3bhn","64","16","mish","data","relu","0.2","","","5","128","3","false","128","0.00013358640521456006","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","9","0.6692349910736084","0.800000011920929","0.627345860004425","0.588652491569519","0.7670010924339294","0.5954198241233826","0.4771573543548584","0.8816562294960022","0.7265791296958923","0.8070175647735596","0.606217622756958","0.6171003580093384","0.7319148778915405","0.6331169009208679","0.4747474789619446","0.7931034564971924","0.6499999761581421","0.5627118349075317","0.8056206107139587","0.5619596838951111","0.47959184646606445","1139","0.618625283241272","0.732824444770813","0.5889570713043213","0.5544554591178894","0.7254902124404907","0.5290322303771973","0.5106382966041565","0.9846858382225036","0.8135592937469482","0.6575342416763306","0.43410852551460266","0.7551020383834839","0.5942028760910034","0.52173912525177","0.6666666865348816","0.5333333611488342","0.767123281955719","0.698113203048706","0.4767441749572754","0.5"
"decent-sweep-23","","false","finished","-","","","2025-12-13T19:04:06.000Z","111","rzpn3bhn","64","16","gelu","data","relu","0.2","","","5","128","3","false","128","0.000305856511009445","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","false","19","0.9471656680107116","0.9671847820281982","0.9442896842956544","0.9491525292396544","0.9544923901557922","0.9273256063461304","0.9306930899620056","0.15018820762634277","0.5774816274642944","0.9688581228256226","0.9469273686408995","0.9491525292396544","0.951162815093994","0.9354838728904724","0.9038461446762084","0.9655172228813172","0.9416666626930236","0.9491525292396544","0.9578454494476318","0.9193083643913268","0.9591836929321288","2279","0.762749433517456","0.8235294222831726","0.742514967918396","0.7179487347602844","0.8598130941390991","0.7118644118309021","0.5769230723381042","0.8647946119308472","0.875","0.8051947951316833","0.6746987700462341","0.8518518805503845","0.692307710647583","0.5357142686843872","0.7777777910232544","0.6888889074325562","0.767123281955719","0.8679245114326477","0.7325581312179565","0.625"
"skilled-sweep-22","","true","finished","-","","","2025-12-13T19:02:43.000Z","79","rzpn3bhn","32","32","mish","data","relu","0.3","","","5","128","3","false","128","0.0001295402071294709","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","false","19","0.7325261235237122","0.8145580291748047","0.6800535321235657","0.6528497338294983","0.8428245782852173","0.6972476840019226","0.552763819694519","0.7278201580047607","0.6223406791687012","0.8188153505325317","0.6563307642936707","0.6654929518699646","0.8203991055488586","0.742671012878418","0.5445544719696045","0.8103448152542114","0.7055555582046509","0.6406779885292053","0.8665105104446411","0.6570605039596558","0.5612244606018066","1139","0.6563193202018738","0.7659574747085571","0.5764706134796143","0.5600000023841858","0.8199999928474426","0.621052622795105","0.4473684132099152","0.9437965154647828","0.782608687877655","0.612500011920929","0.6730769276618958","0.8723404407501221","0.567307710647583","0.32692307233810425","0.75","0.5444444417953491","0.4794520437717438","0.7735849022865295","0.6860465407371521","0.7083333134651184"
"upbeat-sweep-21","","false","finished","-","","","2025-12-13T19:00:56.000Z","100","rzpn3bhn","64","32","mish","data","gelu","0.2","","","5","128","3","true","128","0.00019467936234249513","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","19","0.8602091073989868","0.9078498482704164","0.8463687300682068","0.8455008268356323","0.8980070352554321","0.8166189193725586","0.8020833134651184","0.39940014481544495","0.3078456223011017","0.8986486196517944","0.851123571395874","0.8469387888908386","0.8990610241889954","0.811965823173523","0.8191489577293396","0.917241394519806","0.8416666388511658","0.8440678119659424","0.8969554901123047","0.8213256597518921","0.7857142686843872","1139","0.7760531902313232","0.8740741014480591","0.698924720287323","0.774193525314331","0.8421052694320679","0.7322404384613037","0.7169811129570007","0.6973647475242615","0.9365079402923584","0.6770833134651184","0.7317073345184326","0.9523809552192688","0.6907216310501099","0.6551724076271057","0.8194444179534912","0.7222222089767456","0.8219178318977356","0.7547169923782349","0.7790697813034058","0.7916666865348816"
"restful-sweep-20","","false","finished","-","","","2025-12-13T18:59:10.000Z","102","rzpn3bhn","64","32","silu","data","gelu","0.2","","","5","128","3","true","128","0.0001040757455813452","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","19","0.7985690832138062","0.8728522062301636","0.7829670310020447","0.7614213228225708","0.8597491383552551","0.7377777695655823","0.6740331649780273","0.5530340671539307","0.6053900718688965","0.8698630332946777","0.7744565010070801","0.7601351141929626","0.8377777934074402","0.7591463327407837","0.7349397540092468","0.8758620619773865","0.7916666865348816","0.7627118825912476","0.8829039931297302","0.7175792455673218","0.6224489808082581","1139","0.7937915921211243","0.8676470518112183","0.7955800890922546","0.7142857313156128","0.8660714030265808","0.7213114500045776","0.7307692170143127","0.6246936321258545","0.921875","0.791208803653717","0.849056601524353","0.8220338821411133","0.6804123520851135","0.6785714030265808","0.8194444179534912","0.800000011920929","0.6164383292198181","0.9150943160057068","0.7674418687820435","0.7916666865348816"
"drawn-sweep-19","","true","finished","-","","","2025-12-13T18:57:07.000Z","119","rzpn3bhn","64","64","mish","data","relu","0.3","","","5","128","3","true","128","0.0001073853305681922","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","true","12","0.8172812461853027","0.8689655065536499","0.7865168452262878","0.7749577164649963","0.8820160627365112","0.7866473197937012","0.7195767164230347","0.5139164924621582","0.44046568870544434","0.8689655065536499","0.7954545617103577","0.7736486196517944","0.8632286787033081","0.792397677898407","0.7472527623176575","0.8689655065536499","0.7777777910232544","0.7762711644172668","0.9016393423080444","0.7809798121452332","0.6938775777816772","369","0.7494456768035889","0.8529411554336548","0.7052631378173828","0.682170569896698","0.8557692170143127","0.6804123520851135","0.6222222447395325","0.8115723133087158","0.90625","0.6700000166893005","0.7857142686843872","0.8725489974021912","0.6111111044883728","0.6666666865348816","0.8055555820465088","0.7444444298744202","0.6027397513389587","0.8396226167678833","0.7674418687820435","0.5833333134651184"
